Ano,Mes,Dinheiro,Visa,Visa Electron,Conta assinada,Desconto,Mastercard
2018,11,1356.31,9260.4,27.65,636.88,204.8,0
2018,12,3522.84,33276.09,945.23,2395.51,940.13,0
2019,1,4301.51,24421.22,10423.65,1451.55,316.62,0
2019,2,3973.76,16408.34,14421.13,64.24,318.21,0
2019,3,1954.71,10316.44,5665.26,0.0,78.84,0
2019,4,1458.24,10254.96,6641.08,0.0,138.9,0
2019,5,4565.84,15729.85,11831.35,0.0,139.96,0
2019,6,5098.09,12283.64,11587.94,0.0,187.4,0
2019,7,3605.55,11529.63,8051.98,0.0,268.53,0
2019,8,2127.68,10212.66,8680.01,0.0,107.16,0
2019,9,495.3,9164.4,10537.13,0.0,60.0,0
2019,10,1351.45,12962.98,11744.55,0.0,41.69,0
2019,11,1600.34,15039.17,9763.33,0.0,47.69,0
2019,12,855.74,13308.64,10394.27,0.0,16.83,0
2020,1,370.4,12865.57,13023.11,0.0,87.11,0
2020,2,274.15,15029.64,12848.68,0.0,55.58,366.74
2020,3,721.95,6644.48,8143.75,0.0,29.24,189.75
2020,4,0.0,745.2,626.5,0.0,0.3,0
